gameDuration;winner;firstBlood;firstTower;firstInhibitor;firstBaron;firstDragon;firstRiftHerald;t1_towerKills;t1_inhibitorKills;t1_baronKills;t1_dragonKills;t1_riftHeraldKills;t2_towerKills;t2_inhibitorKills;t2_baronKills;t2_dragonKills;t2_riftHeraldKills
1296;1;2;1;0;0;2;0;1;0;0;1;0;2;0;0;1;0
2634;1;2;2;2;1;1;0;9;1;2;3;0;8;1;0;2;0
963;1;1;1;0;0;0;0;4;0;0;0;0;1;0;0;0;0
2929;2;1;1;2;1;1;1;5;0;1;4;1;10;1;0;1;0
2097;1;2;1;1;1;1;1;11;3;1;3;1;1;0;0;1;0
2051;1;2;2;1;1;1;2;5;1;1;2;0;4;0;0;0;1
1707;1;2;1;1;1;1;2;10;2;1;1;0;1;0;0;0;1
193;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1934;2;2;2;2;2;2;2;0;0;0;0;0;8;2;1;3;1
1451;1;1;1;0;0;2;0;3;0;0;0;0;1;0;0;1;0
1257;2;2;2;2;0;1;0;2;0;0;1;0;5;1;0;1;0
1789;1;2;1;1;1;2;0;7;1;1;1;0;2;0;0;2;0
1311;1;1;1;0;0;1;0;4;0;0;2;0;0;0;0;0;0
2218;2;1;1;2;1;1;0;5;0;1;3;0;9;1;1;2;0
1469;1;2;1;1;1;1;0;7;1;1;1;0;1;0;0;0;0
1543;2;1;2;2;2;2;2;2;0;0;0;0;11;3;1;3;1
2149;1;1;1;1;0;1;1;11;3;0;4;1;1;0;0;0;0
2050;1;1;1;1;1;2;0;11;4;1;1;0;3;0;0;2;0
2131;2;2;2;2;2;1;0;3;0;0;2;0;9;1;1;1;0
2039;2;2;1;2;2;1;1;3;0;0;2;1;11;3;1;1;0
2600;1;2;2;1;1;1;2;5;2;2;4;0;3;0;0;0;1
1761;1;1;1;1;1;2;0;9;1;1;2;0;0;0;0;2;0
1534;1;1;1;1;0;1;1;10;2;0;3;1;0;0;0;0;0
1226;2;1;2;2;0;2;2;0;0;0;0;0;9;3;0;2;1
1873;2;1;2;2;2;2;0;0;0;0;0;0;11;4;1;3;0
1695;1;1;1;1;2;2;0;10;2;0;1;0;5;0;1;1;0
2243;1;1;1;2;1;1;0;8;1;1;3;0;6;1;0;0;0
1604;1;1;1;1;1;2;1;10;2;1;1;1;0;0;0;2;0
1861;2;2;2;2;2;2;0;3;0;0;1;0;8;1;1;1;0
2280;1;1;1;1;1;1;2;10;3;2;4;0;5;0;0;0;1
2372;2;1;1;2;2;2;1;4;0;0;0;1;10;3;2;4;0
1810;1;2;2;0;1;2;0;3;0;1;1;0;5;0;0;1;0
1725;2;1;2;2;0;2;0;1;0;0;0;0;8;2;0;2;0
2615;2;1;1;2;2;2;0;7;0;0;1;0;7;1;1;2;0
1923;1;2;1;1;1;2;0;11;3;1;2;0;2;0;0;1;0
1233;1;1;1;1;0;1;0;7;1;0;2;0;0;0;0;0;0
1771;1;2;1;1;1;1;0;6;1;1;3;0;3;0;0;0;0
1161;1;1;1;1;0;1;0;7;1;0;1;0;0;0;0;0;0
1660;1;1;1;1;1;1;0;10;1;1;2;0;1;0;0;0;0
1760;2;1;1;2;2;1;1;2;0;0;1;1;8;1;1;2;0
1906;1;1;2;1;1;1;1;11;3;2;4;1;2;0;0;0;0
1289;2;2;2;0;0;2;0;0;0;0;0;0;8;0;0;2;0
1522;1;2;1;1;1;1;0;8;2;1;2;0;1;0;0;0;0
3288;2;2;1;1;1;2;1;7;2;3;2;1;6;2;0;4;0
192;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
948;1;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
1500;2;1;2;2;2;2;1;2;0;0;0;1;9;2;1;2;0
1324;2;2;2;2;0;2;2;1;0;0;0;0;8;2;0;2;1
1861;1;1;1;1;1;1;1;7;1;1;3;1;4;0;0;1;0
930;2;2;1;0;0;2;0;1;0;0;0;0;3;0;0;1;0
2845;1;2;1;1;2;2;0;8;3;0;2;0;8;1;2;2;0
2229;2;2;1;2;2;2;0;4;0;0;1;0;9;1;1;3;0
2136;1;2;1;1;0;2;1;10;1;0;3;1;0;0;0;1;0
1330;1;2;1;1;0;1;0;9;2;0;1;0;0;0;0;0;0
1366;2;1;2;0;0;2;0;0;0;0;0;0;5;0;0;1;0
1872;2;1;1;2;2;2;0;2;0;0;0;0;11;3;2;3;0
2310;1;2;2;1;1;1;1;8;1;1;1;1;6;0;0;3;0
1438;1;1;1;1;1;1;1;11;4;1;1;1;0;0;0;1;0
2202;1;2;1;1;1;1;1;11;4;1;3;1;1;0;0;0;0
1351;2;2;2;0;0;2;0;0;0;0;0;0;5;0;0;2;0
1400;2;2;2;0;0;2;0;2;0;0;0;0;7;0;0;2;0
1675;2;1;2;2;0;1;0;1;0;0;2;0;6;1;0;1;0
1379;1;2;2;1;1;1;0;8;1;1;2;0;1;0;0;0;0
2463;2;1;2;2;1;1;2;5;0;1;2;0;9;1;1;2;1
1367;1;1;1;1;0;1;0;9;1;0;1;0;0;0;0;0;0
2114;1;2;1;1;1;1;0;10;3;1;2;0;3;0;0;1;0
2311;2;1;2;2;2;2;0;2;0;0;0;0;8;1;1;3;0
1784;2;1;1;0;2;1;0;2;0;0;2;0;3;0;1;1;0
3072;2;1;2;2;2;2;0;3;0;0;0;0;11;4;2;5;0
935;2;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0
2396;2;1;1;2;2;2;0;6;0;0;2;0;10;2;2;2;0
1146;1;2;1;1;0;1;0;11;2;0;2;0;0;0;0;0;0
2276;2;1;1;2;0;2;0;5;0;0;1;0;7;1;0;2;0
2700;1;2;2;1;2;2;0;9;4;0;1;0;6;1;1;3;0
208;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1672;2;2;2;2;0;2;0;0;0;0;0;0;10;3;0;2;0
1960;2;2;2;2;0;1;0;0;0;0;1;0;10;3;0;2;0
1703;1;2;2;1;1;1;2;9;2;1;1;0;4;0;0;2;1
1631;2;2;2;2;2;2;2;0;0;0;0;0;9;1;1;3;1
2166;2;1;2;2;2;2;0;3;0;0;0;0;11;4;1;3;0
1367;1;1;1;1;0;1;1;7;1;0;1;1;1;0;0;0;0
1781;2;1;2;2;0;2;2;4;0;0;0;0;9;2;0;4;1
2526;1;2;1;1;1;1;0;8;1;2;2;0;4;0;0;2;0
1574;1;1;2;1;0;1;1;7;1;0;2;1;3;0;0;0;0
1315;1;1;1;0;0;1;0;5;0;0;1;0;1;0;0;0;0
2236;1;2;2;1;2;1;2;10;2;0;4;0;4;0;2;1;1
1647;2;1;1;2;2;1;0;4;0;0;1;0;11;3;1;2;0
1400;1;1;1;1;1;1;1;10;2;1;1;1;0;0;0;0;0
1592;1;1;2;1;0;1;0;9;1;0;2;0;2;0;0;0;0
1489;1;2;1;1;1;1;2;11;4;1;3;0;1;0;0;0;1
2286;2;1;1;1;2;2;1;9;2;0;1;1;8;1;2;3;0
1550;1;1;1;1;1;1;0;9;2;1;1;0;3;0;0;1;0
2018;1;2;2;1;1;2;2;8;1;2;0;0;4;0;0;4;1
2378;2;2;2;2;2;2;2;1;0;0;0;0;10;2;1;5;1
911;1;1;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0
2047;1;1;2;1;1;2;1;10;2;1;1;1;3;0;0;2;0
1955;1;1;2;2;1;1;2;8;1;1;3;0;9;2;0;1;1
1574;2;2;2;2;2;1;0;0;0;0;1;0;11;3;1;1;0
2083;2;1;1;2;0;2;0;3;0;0;1;0;8;1;0;2;0
1748;1;2;1;1;0;1;0;8;1;0;2;0;1;0;0;0;0
1693;2;2;1;2;2;2;0;1;0;0;0;0;10;2;1;2;0
1255;1;1;1;1;0;1;1;6;1;0;1;1;0;0;0;0;0
1842;2;1;2;2;0;1;2;1;0;0;2;0;8;1;0;2;1
1619;1;2;1;1;0;0;0;7;1;0;0;0;1;0;0;0;0
1552;2;1;2;2;2;2;2;0;0;0;0;0;9;2;1;2;1
1359;1;1;1;1;0;1;0;8;1;0;2;0;0;0;0;0;0
1597;2;2;2;2;0;2;0;0;0;0;0;0;11;4;0;1;0
2377;2;2;2;2;1;2;0;1;0;1;0;0;10;3;0;4;0
2121;2;2;1;2;1;2;0;3;0;1;0;0;10;2;0;4;0
3328;1;1;2;1;2;1;0;7;1;1;3;0;7;0;1;2;0
1948;1;2;1;1;0;1;0;9;2;0;3;0;2;0;0;0;0
2560;1;1;2;1;1;1;0;7;1;1;2;0;3;0;0;1;0
1726;1;1;1;1;1;1;1;9;3;1;3;1;2;0;0;0;0
2494;1;2;2;1;1;2;2;9;2;1;0;0;7;0;1;4;1
1932;2;1;2;2;2;2;1;3;0;0;0;1;10;3;2;3;0
2149;1;2;2;1;1;2;1;10;2;2;1;1;4;0;0;3;0
1729;2;1;2;2;0;2;0;0;0;0;1;0;9;3;0;1;0
1873;2;2;2;2;0;1;0;2;0;0;2;0;9;2;0;1;0
2898;1;1;2;1;0;2;0;10;3;0;1;0;3;0;0;3;0
2100;2;1;1;2;0;1;0;5;0;0;3;0;7;1;0;0;0
2048;2;2;2;2;2;2;1;2;0;0;0;1;7;2;2;4;0
1670;1;2;2;1;1;2;2;8;2;1;1;0;6;1;0;2;1
2100;2;1;1;2;1;2;1;5;0;1;1;1;9;1;0;3;0
1755;1;2;1;1;0;1;1;11;4;0;2;1;1;0;0;0;0
1819;1;2;2;1;2;2;0;9;3;0;2;0;5;0;1;2;0
1412;1;1;1;1;1;1;1;11;3;1;2;1;0;0;0;0;0
1579;1;1;1;1;0;1;2;11;3;0;2;0;0;0;0;0;1
1299;1;2;1;1;0;1;0;8;1;0;2;0;1;0;0;0;0
2299;2;1;1;2;0;1;0;3;0;0;2;0;8;1;0;1;0
2075;1;1;1;1;1;1;1;10;3;1;3;1;3;0;0;0;0
1869;2;1;1;2;0;2;0;2;0;0;0;0;10;3;0;2;0
2295;2;1;1;1;2;1;1;7;1;0;3;1;10;2;1;1;0
1135;1;1;1;1;0;1;0;9;3;0;2;0;0;0;0;0;0
3025;2;2;1;2;1;2;0;7;0;1;4;0;7;2;0;1;0
1688;1;2;2;1;1;2;2;11;2;1;2;0;4;0;0;1;1
1230;1;1;1;0;0;1;1;7;0;0;1;1;2;0;0;1;0
2507;1;2;2;1;2;2;0;7;1;1;3;0;3;0;1;1;0
1997;2;1;2;2;2;2;2;4;0;0;0;0;9;1;1;2;1
1876;2;2;2;2;2;2;2;1;0;0;0;0;10;2;1;3;1
2685;2;1;2;1;1;2;2;5;1;2;0;0;11;3;1;4;1
1770;2;2;2;2;2;2;2;0;0;0;0;0;10;3;1;4;1
2675;1;1;1;1;1;1;2;11;4;1;3;0;6;0;1;1;1
2331;1;1;2;1;1;2;0;9;2;1;0;0;4;0;0;2;0
1557;2;2;2;2;2;2;2;2;0;0;0;0;9;4;1;3;1
1353;1;1;1;1;1;1;1;11;4;1;3;1;0;0;0;0;0
2505;2;2;1;2;1;1;0;4;0;2;2;0;7;1;1;2;0
2315;2;2;2;2;2;2;0;4;0;0;1;0;8;2;1;4;0
1413;2;2;2;2;0;2;2;1;0;0;0;0;6;1;0;1;1
1592;2;1;1;1;0;1;0;5;1;0;1;0;9;2;0;1;0
2310;2;1;1;2;2;2;2;5;0;0;2;0;10;2;2;2;1
1637;1;1;1;1;0;0;0;9;2;0;0;0;1;0;0;0;0
1722;1;2;1;1;1;1;1;11;3;1;3;1;0;0;0;0;0
1658;2;2;2;2;2;2;0;0;0;0;0;0;11;3;1;3;0
1488;2;1;2;2;2;2;2;0;0;0;0;0;7;1;1;3;1
1349;1;1;1;1;0;1;1;9;1;0;1;1;0;0;0;0;0
1837;1;1;1;1;0;1;0;11;3;0;1;0;1;0;0;1;0
2077;2;1;2;2;1;2;1;3;0;1;0;1;7;1;0;4;0
2544;1;1;1;2;1;2;2;7;1;2;3;0;11;4;0;2;1
1788;1;2;1;1;1;1;1;9;1;1;3;1;0;0;0;0;0
1768;2;2;1;2;1;1;1;3;0;1;3;1;8;1;0;0;0
1767;1;1;2;1;1;2;2;7;1;1;1;0;3;0;0;2;1
1921;2;1;2;2;1;1;2;3;0;1;2;0;10;2;1;1;1
1474;1;2;1;1;1;2;0;11;3;1;1;0;0;0;0;1;0
1897;2;2;2;2;2;1;2;1;0;0;1;0;8;1;1;3;1
2597;2;1;1;2;2;1;1;2;0;0;3;1;8;3;1;2;0
1702;1;2;2;1;1;2;1;11;2;1;1;1;4;0;0;2;0
2564;2;1;1;2;1;2;1;5;0;1;0;1;9;2;1;4;0
1786;2;2;2;2;0;2;0;2;0;0;0;0;9;1;0;3;0
1531;2;2;2;2;2;2;2;1;0;0;0;0;9;2;1;3;1
1356;2;1;2;0;0;2;0;1;0;0;0;0;3;0;0;1;0
1468;2;1;2;0;0;2;0;1;0;0;0;0;5;0;0;2;0
1504;1;2;1;1;0;2;1;8;1;0;1;1;3;0;0;1;0
2275;2;2;2;2;1;2;2;5;0;1;0;0;10;5;1;5;1
1398;2;1;2;2;0;2;1;0;0;0;0;1;9;2;0;2;0
2228;2;1;2;0;2;1;2;4;0;0;3;0;5;0;1;1;1
2196;2;2;2;2;2;1;0;3;0;0;1;0;10;2;1;3;0
1298;1;1;1;1;0;0;1;10;2;0;0;1;0;0;0;0;0
2114;2;1;1;2;1;2;1;5;0;1;0;1;7;1;0;4;0
1898;2;2;2;2;0;2;0;0;0;0;0;0;10;2;0;3;0
2043;2;2;1;2;2;1;2;4;0;0;2;0;6;1;1;2;1
2000;2;1;2;2;2;2;2;0;0;0;0;0;11;4;1;4;1
1947;2;2;2;2;2;2;0;2;0;0;0;0;11;5;1;2;0
2584;1;2;1;1;0;1;0;8;1;0;3;0;5;0;0;0;0
1515;1;2;1;1;0;1;1;7;1;0;2;1;1;0;0;0;0
1808;1;1;1;1;1;1;0;10;2;1;2;0;0;0;0;0;0
1336;2;1;1;0;0;1;2;1;0;0;1;0;4;0;0;0;1
2139;1;1;1;1;1;1;1;10;3;2;3;1;3;0;0;1;0
1970;1;1;1;1;1;1;0;8;1;1;4;0;3;0;0;0;0
1727;1;1;1;1;0;1;1;9;2;0;1;1;2;0;0;2;0
2874;1;2;1;2;1;2;0;9;2;1;2;0;8;2;1;3;0
1699;1;1;1;1;1;1;0;10;2;1;3;0;0;0;0;0;0
3144;2;1;2;2;2;2;0;9;1;1;4;0;8;3;2;1;0
2409;2;2;2;2;0;2;0;4;0;0;2;0;10;2;0;2;0
1249;2;2;2;0;0;2;0;0;0;0;0;0;4;0;0;1;0
1526;2;1;1;0;2;2;0;5;0;0;0;0;1;0;1;3;0
1859;2;1;2;2;0;2;0;4;0;0;0;0;7;1;0;1;0
2259;2;1;1;1;1;1;1;7;2;1;4;1;10;2;1;0;0
2617;1;2;2;2;2;2;0;8;2;0;1;0;8;2;1;4;0
1850;1;2;1;1;1;1;2;11;3;1;3;0;0;0;0;0;1
1811;2;1;2;2;1;2;0;4;0;1;2;0;10;3;0;2;0
1780;1;2;1;1;1;1;0;10;1;2;3;0;1;0;0;0;0
201;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1801;2;1;2;2;2;2;2;0;0;0;0;0;9;2;1;3;1
1233;2;2;2;0;0;2;2;1;0;0;0;0;6;0;0;2;1
1769;2;2;2;2;0;1;0;3;0;0;1;0;7;1;0;2;0
1773;1;2;2;2;2;2;2;11;3;0;1;0;4;1;1;1;1
1722;1;1;2;1;0;1;0;11;3;0;2;0;4;0;0;0;0
1600;1;2;1;1;1;2;1;9;2;1;0;1;1;0;0;1;0
2122;1;1;1;1;0;2;2;9;1;0;1;0;2;0;0;3;1
1585;1;2;2;1;1;2;2;9;2;1;1;0;3;0;0;1;1
1793;1;1;1;1;1;1;1;11;3;1;3;1;0;0;0;0;0
2237;2;1;2;2;1;2;0;3;0;1;0;0;9;1;0;3;0
1158;1;1;1;1;0;2;0;7;1;0;0;0;1;0;0;1;0
2524;2;2;1;2;1;1;0;8;0;2;1;0;8;2;0;3;0
2196;2;2;1;2;2;1;2;4;0;0;2;0;11;4;2;2;1
2059;2;1;1;2;2;2;0;3;0;0;1;0;8;1;1;2;0
1776;1;2;1;1;0;2;1;9;1;0;3;1;1;0;0;1;0
2174;1;1;1;1;2;2;2;10;2;0;2;0;3;0;1;2;1
2167;1;2;2;2;2;2;1;9;1;1;1;1;6;1;1;2;0
1254;1;1;1;1;0;1;0;7;1;0;1;0;1;0;0;0;0
2012;2;2;2;1;2;2;1;7;1;0;1;1;10;2;1;1;0
2196;1;1;1;2;1;1;0;8;1;1;1;0;6;1;0;1;0
1789;2;1;2;2;2;1;1;2;0;0;1;1;9;1;1;2;0
2065;1;2;1;1;0;1;0;10;3;0;2;0;4;0;0;0;0
1656;1;1;1;1;0;1;1;10;2;0;3;1;0;0;0;0;0
2260;1;2;2;2;2;1;1;2;0;1;1;1;7;1;1;2;0
1800;2;2;1;2;0;2;0;2;0;0;0;0;8;1;0;2;0
1568;2;1;2;2;0;1;0;2;0;0;1;0;9;2;0;1;0
2393;1;1;1;1;1;1;1;8;1;2;3;1;3;0;0;0;0
2023;1;1;1;1;1;1;1;9;2;1;4;1;2;0;0;0;0
1508;2;2;2;2;2;2;0;1;0;0;0;0;11;2;1;2;0
1683;2;1;2;2;2;2;2;0;0;0;1;0;10;2;1;1;1
2120;1;1;2;1;0;2;0;9;1;0;1;0;3;0;0;2;0
1636;2;2;2;2;2;2;2;1;0;0;0;0;8;2;1;2;1
2540;1;1;1;1;2;1;0;10;3;1;5;0;7;0;1;0;0
1475;1;2;2;1;1;2;2;5;1;1;1;0;6;1;0;2;1
3548;1;1;2;2;2;1;1;8;1;0;3;1;10;3;1;2;0
2106;2;2;1;1;2;1;1;6;1;0;1;1;8;1;1;2;0
1874;1;2;2;1;0;2;2;8;1;0;2;0;3;0;0;2;1
2045;2;2;2;2;2;1;2;2;0;0;2;0;8;1;1;1;1
2959;2;1;1;2;2;1;2;5;0;0;3;0;11;6;3;3;1
2661;2;1;1;1;2;2;0;6;3;0;1;0;10;2;1;3;0
1616;1;2;1;1;0;1;0;10;2;0;2;0;0;0;0;0;0
1639;1;1;1;1;0;1;1;10;1;0;2;1;0;0;0;0;0
1441;1;2;1;1;0;1;1;5;1;0;2;1;1;0;0;0;0
1399;1;1;1;1;0;1;0;11;3;0;2;0;1;0;0;0;0
1167;2;1;2;0;0;0;2;1;0;0;0;0;5;0;0;0;1
1461;1;1;1;1;1;1;0;7;1;1;2;0;0;0;0;0;0
1797;2;2;2;2;2;2;2;0;0;0;0;0;11;4;1;3;1
1849;2;1;2;2;0;2;1;4;0;0;0;1;9;2;0;1;0
1446;2;2;1;0;0;1;0;3;0;0;2;0;3;0;0;0;0
2308;1;2;1;1;1;1;1;11;5;2;4;1;1;0;0;0;0
2167;1;2;1;1;1;1;0;8;1;1;3;0;2;0;0;1;0
1065;1;1;1;1;0;1;0;7;1;0;1;0;0;0;0;0;0
2073;2;2;2;2;0;1;0;4;0;0;1;0;8;1;0;3;0
1264;2;2;2;0;0;2;2;0;0;0;0;0;7;0;0;2;1
1516;1;2;1;1;0;1;1;9;2;0;1;1;1;0;0;1;0
1468;2;2;2;0;0;2;2;0;0;0;0;0;8;0;0;1;1
2562;1;2;1;1;1;1;0;11;2;2;4;0;5;1;0;0;0
2014;2;2;2;2;2;1;1;3;0;0;1;1;7;1;1;1;0
1723;1;1;1;0;0;2;0;5;0;0;1;0;2;0;0;2;0
1378;1;1;1;1;0;2;1;7;1;0;2;1;1;0;0;1;0
1007;2;2;2;0;0;2;2;1;0;0;0;0;4;0;0;1;1
1714;1;1;2;1;1;1;0;10;1;1;3;0;4;0;0;0;0
2023;2;1;1;2;2;2;0;6;0;1;0;0;8;2;1;3;0
2058;2;1;2;1;1;2;2;6;1;1;2;0;9;1;1;1;1
2184;2;2;2;2;2;2;2;3;0;0;2;0;8;1;1;2;1
2649;2;1;1;1;2;2;0;7;1;0;1;0;7;2;1;3;0
1277;2;1;2;0;0;2;0;0;0;0;0;0;5;0;0;1;0
1400;1;1;1;1;0;1;1;7;1;0;2;1;0;0;0;0;0
2022;1;1;2;1;1;2;1;8;1;1;2;1;4;0;0;2;0
2241;1;1;1;1;1;1;2;11;4;1;4;0;4;0;0;0;1
1331;1;2;1;0;0;1;0;5;0;0;2;0;2;0;0;0;0
2010;2;2;1;2;2;1;0;2;0;0;1;0;10;2;1;1;0
1809;2;1;2;2;0;2;2;1;0;0;0;0;11;1;0;3;1
1696;1;1;1;1;1;1;1;10;2;1;3;1;0;0;0;0;0
1695;1;1;1;1;0;1;0;11;3;0;3;0;0;0;0;0;0
1801;2;2;2;2;0;1;0;4;0;0;1;0;9;2;0;2;0
1547;2;2;2;2;0;1;2;1;0;0;1;0;7;2;0;1;1
1523;2;2;2;2;2;1;2;1;0;0;2;0;10;2;1;1;1
2528;1;1;1;1;1;2;0;9;1;1;3;0;1;0;0;1;0
2621;2;1;2;2;2;2;0;5;0;0;1;0;10;4;2;4;0
2352;1;1;1;1;1;1;1;10;2;1;2;1;4;0;0;2;0
1752;2;1;2;2;0;2;1;0;0;0;0;1;9;2;0;2;0
1322;2;2;2;2;0;2;2;0;0;0;0;0;9;2;0;2;1
1635;2;2;2;2;2;2;2;2;0;0;0;0;9;2;1;3;1
2082;2;2;1;2;2;2;0;4;0;0;2;0;10;2;1;1;0
2811;1;1;2;1;1;2;0;10;2;2;0;0;7;1;0;5;0
1574;1;1;1;1;1;1;1;11;3;1;2;1;0;0;0;1;0
1507;2;2;2;2;0;2;0;2;0;0;0;0;11;2;0;2;0
1923;2;2;1;2;0;2;0;4;0;0;0;0;7;1;0;2;0
1985;1;2;1;1;0;1;0;10;2;0;2;0;1;0;0;0;0
1662;2;2;2;2;0;2;0;0;0;0;0;0;11;3;0;2;0
204;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1350;2;2;2;2;0;2;0;2;0;0;0;0;9;1;0;2;0
